username,post,tag,likes,comment
wonderwallstore_dpk,,,23,
wonderwallstore_dpk,harga  rp105000 info  order  wa  081315657220 flanneldepok flannelbandung flanneljakartakemejamurah kemejadepok grosirflannel fashioncowok fashionaddict bajumurah grosirbajumurah tshirt poloshirt depok olshopdepok jakarta flannelmurah bandung grosirjakarta,"['#flanneldepok ', '#flannelbandung ', '#flanneljakarta#kemejamurah ', '#kemejadepok ', '#grosirflannel ', '#fashioncowok ', '#fashionaddict ', '#bajumurah ', '#grosirbajumurah ', '#tshirt ', '#poloshirt ', '#depok ', '#olshopdepok ', '#jakarta ', '#flannelmurah ', '#bandung ', '#grosirjakarta']",12,
wonderwallstore_dpk,harga  rp105000 info  order  wa  081315657220 flanneldepok flannelbandung flanneljakartakemejamurah kemejadepok grosirflannel fashioncowok fashionaddict bajumurah grosirbajumurah tshirt poloshirt depok olshopdepok jakarta flannelmurah bandung grosirjakarta,"['#flanneldepok ', '#flannelbandung ', '#flanneljakarta#kemejamurah ', '#kemejadepok ', '#grosirflannel ', '#fashioncowok ', '#fashionaddict ', '#bajumurah ', '#grosirbajumurah ', '#tshirt ', '#poloshirt ', '#depok ', '#olshopdepok ', '#jakarta ', '#flannelmurah ', '#bandung ', '#grosirjakarta']",9,
wonderwallstore_dpk,harga  rp105000 info  order  wa  081315657220 flanneldepok flannelbandung flanneljakartakemejamurah kemejadepok grosirflannel fashioncowok fashionaddict bajumurah grosirbajumurah tshirt poloshirt depok olshopdepok jakarta flannelmurah bandung grosirjakarta,"['#flanneldepok ', '#flannelbandung ', '#flanneljakarta#kemejamurah ', '#kemejadepok ', '#grosirflannel ', '#fashioncowok ', '#fashionaddict ', '#bajumurah ', '#grosirbajumurah ', '#tshirt ', '#poloshirt ', '#depok ', '#olshopdepok ', '#jakarta ', '#flannelmurah ', '#bandung ', '#grosirjakarta']",7,
wonderwallstore_dpk,harga  rp105000 info  order  wa  081315657220 flanneldepok flannelbandung flanneljakartakemejamurah kemejadepok grosirflannel fashioncowok fashionaddict bajumurah grosirbajumurah tshirt poloshirt depok olshopdepok jakarta flannelmurah bandung grosirjakarta,"['#flanneldepok ', '#flannelbandung ', '#flanneljakarta#kemejamurah ', '#kemejadepok ', '#grosirflannel ', '#fashioncowok ', '#fashionaddict ', '#bajumurah ', '#grosirbajumurah ', '#tshirt ', '#poloshirt ', '#depok ', '#olshopdepok ', '#jakarta ', '#flannelmurah ', '#bandung ', '#grosirjakarta']",10,
wonderwallstore_dpk,harga  rp105000 info  order  wa  081315657220 flanneldepok flannelbandung flanneljakartakemejamurah kemejadepok grosirflannel fashioncowok fashionaddict bajumurah grosirbajumurah tshirt poloshirt depok olshopdepok jakarta flannelmurah bandung grosirjakarta,"['#flanneldepok ', '#flannelbandung ', '#flanneljakarta#kemejamurah ', '#kemejadepok ', '#grosirflannel ', '#fashioncowok ', '#fashionaddict ', '#bajumurah ', '#grosirbajumurah ', '#tshirt ', '#poloshirt ', '#depok ', '#olshopdepok ', '#jakarta ', '#flannelmurah ', '#bandung ', '#grosirjakarta']",17,
wonderwallstore_dpk,harga  rp105000 info  order  wa  081315657220 flanneldepok flannelbandung flanneljakartakemejamurah kemejadepok grosirflannel fashioncowok fashionaddict bajumurah grosirbajumurah tshirt poloshirt depok olshopdepok jakarta flannelmurah bandung grosirjakarta,"['#flanneldepok ', '#flannelbandung ', '#flanneljakarta#kemejamurah ', '#kemejadepok ', '#grosirflannel ', '#fashioncowok ', '#fashionaddict ', '#bajumurah ', '#grosirbajumurah ', '#tshirt ', '#poloshirt ', '#depok ', '#olshopdepok ', '#jakarta ', '#flannelmurah ', '#bandung ', '#grosirjakarta']",13,
wonderwallstore_dpk,harga  rp110000 info  order  wa  081315657220 flanneldepok flannelbandung flanneljakartakemejamurah kemejadepok grosirflannel fashioncowok fashionaddict bajumurah grosirbajumurah tshirt poloshirt depok olshopdepok jakarta flannelmurah bandung grosirjakarta,"['#flanneldepok ', '#flannelbandung ', '#flanneljakarta#kemejamurah ', '#kemejadepok ', '#grosirflannel ', '#fashioncowok ', '#fashionaddict ', '#bajumurah ', '#grosirbajumurah ', '#tshirt ', '#poloshirt ', '#depok ', '#olshopdepok ', '#jakarta ', '#flannelmurah ', '#bandung ', '#grosirjakarta']",5,
wonderwallstore_dpk,harga  rp105000 info  order  wa  081315657220 flanneldepok flannelbandung flanneljakartakemejamurah kemejadepok grosirflannel fashioncowok fashionaddict bajumurah grosirbajumurah tshirt poloshirt depok olshopdepok jakarta flannelmurah bandung grosirjakarta,"['#flanneldepok ', '#flannelbandung ', '#flanneljakarta#kemejamurah ', '#kemejadepok ', '#grosirflannel ', '#fashioncowok ', '#fashionaddict ', '#bajumurah ', '#grosirbajumurah ', '#tshirt ', '#poloshirt ', '#depok ', '#olshopdepok ', '#jakarta ', '#flannelmurah ', '#bandung ', '#grosirjakarta']",4,
wonderwallstore_dpk,harga  rp115000 info  order  wa  081315657220 flanneldepok flannelbandung flanneljakartakemejamurah kemejadepok grosirflannel fashioncowok fashionaddict bajumurah grosirbajumurah tshirt poloshirt depok olshopdepok jakarta flannelmurah bandung grosirjakarta,"['#flanneldepok ', '#flannelbandung ', '#flanneljakarta#kemejamurah ', '#kemejadepok ', '#grosirflannel ', '#fashioncowok ', '#fashionaddict ', '#bajumurah ', '#grosirbajumurah ', '#tshirt ', '#poloshirt ', '#depok ', '#olshopdepok ', '#jakarta ', '#flannelmurah ', '#bandung ', '#grosirjakarta']",10,
